Bra000001	DNAse I-like superfamily protein
Bra000644	Pentatricopeptide repeat (PPR-like) superfamily protein
Bra000645	Pectin lyase-like superfamily protein
Bra000646	Protein of unknown function (DUF1644)
Bra000647	MAPK/ERK kinase kinase 1
Bra000648	No annotation found
Bra000649	No annotation found
Bra000650	No annotation found
Bra000651	No annotation found
Bra000652	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
Bra000653	PRLI-interacting factor, putative
Bra000654	Pollen Ole e 1 allergen and extensin family protein
Bra000655	Sec14p-like phosphatidylinositol transfer family protein
Bra000656	calcium ion binding
Bra000657	Leucine-rich repeat receptor-like protein kinase family protein
Bra000658	F-box family protein with a domain of unknown function (DUF295)
Bra000659	arginase
Bra000660	Phosphate-responsive 1 family protein
Bra000661	phosphotyrosyl phosphatase activator (PTPA) family protein
Bra000662	F-BOX WITH WD-40 2
Bra000663	ascorbate peroxidase 4
Bra000664	Galactose oxidase/kelch repeat superfamily protein
Bra000665	Galactose oxidase/kelch repeat superfamily protein
Bra000666	Mitochondrial ribosomal protein L27
Bra000667	isoamylase 3
Bra000668	Galactose oxidase/kelch repeat superfamily protein
Bra000669	Galactose oxidase/kelch repeat superfamily protein
Bra000670	arabinogalactan protein 10
Bra000671	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein
Bra000672	No annotation found
Bra000673	RING/U-box superfamily protein
Bra000674	MUTL-homologue 1
Bra000675	SEC14 cytosolic factor family protein / phosphoglyceride transfer family protein
Bra000676	No annotation found
Bra000677	Protein kinase superfamily protein
Bra000678	F-box and associated interaction domains-containing protein
Bra000679	SPla/RYanodine receptor (SPRY) domain-containing protein
Bra000680	myb domain protein 6
Bra000681	cytosolic invertase 2
Bra000682	SAUR-like auxin-responsive protein family 
Bra000683	Protease-associated (PA) RING/U-box zinc finger family protein
Bra000684	calcium-dependent protein kinase 4
Bra000685	Mitochondrial transcription termination factor family protein
Bra000686	lectin protein kinase family protein
Bra000687	ATP synthase delta-subunit gene
Bra000688	Oxidoreductase family protein
Bra000689	RAB GTPase homolog G3A
Bra000690	RH39
Bra000691	inositol polyphosphate 5-phosphatase I
Bra000692	S18 ribosomal protein
Bra000693	Nucleotide-sugar transporter family protein
Bra000694	Uncharacterised conserved protein UCP009193
Bra000695	Plant self-incompatibility protein S1 family
Bra000696	K-box region and MADS-box transcription factor family protein 
Bra000697	hydroxysteroid dehydrogenase 5
Bra000698	alpha/beta-Hydrolases superfamily protein
Bra000699	cytochrome c-2
Bra000700	esterase/lipase/thioesterase family protein
Bra000701	SNARE-like superfamily protein
Bra000702	light-mediated development protein 1 / deetiolated1 (DET1)
Bra000703	HSP20-like chaperones superfamily protein
Bra000704	pfkB-like carbohydrate kinase family protein
Bra000705	RmlC-like cupins superfamily protein
Bra000706	RmlC-like cupins superfamily protein
Bra000707	high-affinity K+ transporter 1
Bra000708	light harvesting complex of photosystem II 5
Bra000709	NAC domain containing protein 70
Bra000710	NOD26-like intrinsic protein 5;1
Bra000711	Nascent polypeptide-associated complex (NAC), alpha subunit family protein
Bra000712	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
Bra000713	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
Bra000714	ubiquitin-specific protease 9
Bra000715	CTC-interacting domain 12
Bra000716	Glutaredoxin family protein
Bra000717	IQ-domain 16
Bra000718	alpha/beta-Hydrolases superfamily protein
Bra000719	global transcription factor C
Bra000720	Glucose-1-phosphate adenylyltransferase family protein
Bra000721	UBX domain-containing protein
Bra000722	No annotation found
Bra000723	RNI-like superfamily protein
Bra000724	Tetratricopeptide repeat (TPR)-like superfamily protein
Bra000725	Nodulin MtN3 family protein
Bra000726	No annotation found
Bra000727	terpene synthase 10
Bra000728	transcriptional coactivator p15 (PC4) family protein (KELP)
Bra000729	No annotation found
Bra000730	No annotation found
Bra000731	Protein phosphatase 2C family protein
Bra000732	glycosyl hydrolase 9C3
Bra000733	putative recombination initiation defect 1
Bra000734	translation elongation factor Ts (EF-Ts), putative
Bra000735	Protein of unknown function (DUF295)
Bra000736	cytokinin response factor 1
Bra000737	vacuolar ATP synthase subunit E1
Bra000738	Translation initiation factor 2, small GTP-binding protein
Bra000739	VIRB2-interacting protein 2
Bra000740	Calcineurin-like metallo-phosphoesterase superfamily protein
Bra000741	phosphatase-related
Bra000742	Adaptin family protein
Bra000743	eukaryotic translation initiation factor 3A
Bra000744	cysteine-rich RLK (RECEPTOR-like protein kinase) 31
Bra000745	cysteine-rich RLK (RECEPTOR-like protein kinase) 34
Bra000746	cysteine-rich RLK (RECEPTOR-like protein kinase) 11
Bra000747	bromo-adjacent homology (BAH) domain-containing protein
Bra000748	RNI-like superfamily protein
Bra000749	winged-helix DNA-binding transcription factor family protein
Bra000750	No annotation found
Bra000751	No annotation found
Bra000752	phospholipase D gamma 3
Bra000753	phospholipase D gamma 1
Bra000754	Protein kinase superfamily protein
Bra000755	No annotation found
Bra000756	cell cycle switch protein 52  A2
Bra000757	PGR5-like B
Bra000758	protein kinase family protein
Bra000759	Disease resistance protein (TIR-NBS-LRR class) family
Bra000760	bile acid transporter 5
Bra000761	Sec1/munc18-like (SM) proteins superfamily
Bra000762	Glycine cleavage T-protein family
Bra000763	Galactose oxidase/kelch repeat superfamily protein
Bra000764	RING/U-box superfamily protein
Bra000765	EF hand calcium-binding protein family
Bra000766	alpha/beta-Hydrolases superfamily protein
Bra000767	zinc finger (C2H2 type) family protein
Bra000768	cytochrome P450, family 706, subfamily A, polypeptide 6
Bra000769	cytochrome P450, family 706, subfamily A, polypeptide 6
Bra000770	CDC68-related
Bra000772	SAUR-like auxin-responsive protein family 
Bra000773	Cupredoxin superfamily protein
Bra000774	OSBP(oxysterol binding protein)-related protein 2B
Bra000775	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
Bra000776	Nucleic acid-binding, OB-fold-like protein
Bra000777	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
Bra000778	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
Bra000779	ubiquitin protein ligase 5
Bra000780	Plant invertase/pectin methylesterase inhibitor superfamily
Bra000781	Ribosomal protein L7Ae/L30e/S12e/Gadd45 family protein
Bra000782	transcription activators;DNA binding;RNA polymerase II transcription factors;catalytics;transcription initiation factors
Bra000783	TPX2 (targeting protein for Xklp2) protein family
Bra000784	RING/U-box superfamily protein
Bra000785	fibrillin
Bra000786	ovate family protein 4
Bra000787	plant UBX domain containing protein 4
Bra000788	malonyl-CoA decarboxylase family protein
Bra000789	ERD (early-responsive to dehydration stress) family protein
Bra000790	No annotation found
Bra000791	tRNA synthetase class I (I, L, M and V) family protein
Bra000792	Protein of unknown function (DUF1068)
Bra000793	WRKY family transcription factor
Bra000794	Saposin-like aspartyl protease family protein
Bra000795	No annotation found
Bra000796	cysteine-rich RLK (RECEPTOR-like protein kinase) 40
Bra000797	cysteine-rich RLK (RECEPTOR-like protein kinase) 40
Bra000798	cysteine-rich RLK (RECEPTOR-like protein kinase) 39
Bra000799	cysteine-rich RLK (RECEPTOR-like protein kinase) 38
Bra000800	cysteine-rich RLK (RECEPTOR-like protein kinase) 37
Bra000801	Ankyrin-repeat containing protein
Bra000802	ATPase, F1 complex, gamma subunit protein
Bra000803	Met-10+ like family protein / kelch repeat-containing protein
Bra000804	No annotation found
Bra000805	Major facilitator superfamily protein
Bra000806	methionine sulfoxide reductase B5
Bra000807	protodermal factor 2
Bra000808	AAA-type ATPase family protein
Bra000809	transducin family protein / WD-40 repeat family protein
Bra000810	thioredoxin family protein
Bra000811	F-box family protein
Bra000812	Copper transport protein family
Bra000813	Wound-responsive family protein
Bra000814	Transducin/WD40 repeat-like superfamily protein
Bra000815	thionin 2.2
Bra000816	RNI-like superfamily protein
Bra000817	RNI-like superfamily protein
Bra000818	Metallo-hydrolase/oxidoreductase superfamily protein
Bra000819	Cystatin/monellin superfamily protein
Bra000820	two-pore  channel 1
Bra000821	Thioredoxin superfamily protein
Bra000822	Cyclin A2;4
Bra000823	ankyrin repeat family protein
Bra000824	pre-mRNA splicing factor-related
Bra000825	Protein of unknown function (DUF789)
Bra000826	Peroxisomal membrane 22 kDa (Mpv17/PMP22) family protein
Bra000827	STRUBBELIG-receptor family 3
Bra000828	XH domain-containing protein
Bra000829	pumilio 1
Bra000830	XH domain-containing protein
Bra000831	No annotation found
Bra000832	F-box and Leucine Rich Repeat domains containing protein
Bra000833	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Bra000834	No annotation found
Bra000835	Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein
Bra000836	EF hand calcium-binding protein family
Bra000837	photosynthetic electron transfer C
Bra000838	Outer arm dynein light chain 1 protein
Bra000839	frataxin homolog
Bra000840	xyloglucan endotransglucosylase/hydrolase 9
Bra000841	catalytics
Bra000842	GRR1-like protein 1
Bra000843	cytochrome P450, family 702, subfamily A, polypeptide 1
Bra000844	Rho GTPase activating protein with PAK-box/P21-Rho-binding domain
Bra000845	cytochrome P450, family 705, subfamily A, polypeptide 19
Bra000846	BRI1 suppressor 1 (BSU1)-like 1
Bra000847	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
Bra000848	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
Bra000849	transducin family protein / WD-40 repeat family protein
Bra000850	endoplasmic reticulum auxin binding protein 1
Bra000851	Ubiquitin-like superfamily protein
Bra000852	Ubiquitin-like superfamily protein
Bra000853	GTP binding Elongation factor Tu family protein
Bra000854	No annotation found
Bra000855	ERD (early-responsive to dehydration stress) family protein
Bra000856	Amino acid dehydrogenase family protein
Bra000857	No annotation found
Bra000858	phenazine biosynthesis PhzC/PhzF family protein
Bra000859	phenazine biosynthesis PhzC/PhzF family protein
Bra000860	Small nuclear ribonucleoprotein family protein
Bra000861	No annotation found
Bra000862	No annotation found
Bra000863	GTP-binding family protein
Bra000864	Terpenoid cyclases/Protein prenyltransferases superfamily protein
Bra000865	F-box/RNI-like superfamily protein
Bra000866	F-box/RNI-like superfamily protein
Bra000867	Dormancy/auxin associated family protein
Bra000868	ETO1-like 1
Bra000869	Beige/BEACH domain ;WD domain, G-beta repeat protein
Bra000870	Galactose oxidase/kelch repeat superfamily protein
Bra000871	vacuolar ATPase subunit F family protein
Bra000872	basic helix-loop-helix (bHLH) DNA-binding superfamily protein
Bra000873	NADH-ubiquinone oxidoreductase 24 kDa subunit, putative
Bra000874	cullin 1
Bra000875_Bra000876	glutathione S-transferase F3
Bra000877	UDP-xylosyltransferase 2
Bra000878	AAA-type ATPase family protein
Bra000879	HSP20-like chaperones superfamily protein
Bra000880	Concanavalin A-like lectin protein kinase family protein
Bra000881	Concanavalin A-like lectin protein kinase family protein
Bra000882	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
Bra000883	poly(ADP-ribose) polymerase
Bra000884	senescence-associated gene 21
Bra000885	Protein of unknown function, DUF538
Bra000886	Plant invertase/pectin methylesterase inhibitor superfamily protein
Bra000887	Ribosomal protein L19e family protein
Bra000888	chromatin remodeling 34
Bra000889	cyclic nucleotide-gated channel 12
Bra000890	No annotation found
Bra000891	ARM repeat superfamily protein
Bra000892	Glycosyl hydrolase family protein with chitinase insertion domain
Bra000893	Heat shock protein DnaJ with tetratricopeptide repeat
Bra000894	pre-mRNA splicing factor-related
Bra000895	secretion-associated RAS super family 2
Bra000896	MUTS homolog 6
Bra000897	Minichromosome maintenance (MCM2/3/5) family protein
Bra000898	sugar transporter protein 7
Bra000899	No annotation found
Bra000900	Protein kinase superfamily protein
Bra000901	No annotation found
Bra000902	Tetratricopeptide repeat (TPR)-like superfamily protein
Bra000903	glycerol-3-phosphate acyltransferase 3
Bra000904	Nucleic acid-binding, OB-fold-like protein
Bra000905	NFU domain protein 1
Bra000906	Nucleotide-diphospho-sugar transferase family protein
Bra000907	Nucleotide-diphospho-sugar transferase family protein
Bra000908	GLNB1 homolog
Bra000909	No annotation found
Bra000910	systemic acquired resistance (SAR) regulator protein NIMIN-1-related
Bra000911	Pectin lyase-like superfamily protein
Bra000912	methyltransferases
Bra000913	tolB protein-related
Bra000914	S-adenosylmethionine synthetase 2
Bra000915	Albino or Glassy Yellow 1
Bra000916	Ribosomal protein L7Ae/L30e/S12e/Gadd45 family protein
Bra000917	No annotation found
Bra000918	No annotation found
Bra000919	Polyketide cyclase / dehydrase and lipid transport protein
Bra000920	expansin A17
Bra000921	serine protease inhibitor, Kazal-type family protein
Bra000922	No annotation found
Bra000923	nodulin MtN21 /EamA-like transporter family protein
Bra000924	No annotation found
Bra000925	nodulin MtN21 /EamA-like transporter family protein
Bra000926	nodulin MtN21 /EamA-like transporter family protein
Bra000927	Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family
Bra000928	No annotation found
Bra000929	60S acidic ribosomal protein family
Bra000930	IQ-domain 17
Bra000931	RNA-binding (RRM/RBD/RNP motifs) family protein
Bra000932	DHHC-type zinc finger family protein
Bra000933	Aluminium activated malate transporter family protein
Bra000934	Transcription factor jumonji (jmjC) domain-containing protein
Bra000935	Transcription factor jumonji (jmjC) domain-containing protein
Bra000936	Transcription factor jumonji (jmjC) domain-containing protein
Bra000937	cyclic nucleotide-gated channel 13
Bra000938	PYR1-like 7
Bra000939	Glycosyl hydrolase superfamily protein
Bra000940	thylakoid rhodanese-like
Bra000941	CAPRICE-like MYB3
Bra000942	UDP-Glycosyltransferase superfamily protein
Bra000943	Protein of unknown function (DUF3133)
Bra000944	adenine nucleotide transporter 1
Bra000945	No annotation found
Bra000946	GDSL-like Lipase/Acylhydrolase superfamily protein
Bra000947	No annotation found
Bra000948	BTB/POZ/Kelch-associated protein
Bra000949	glycosyl transferase family 1 protein
Bra000950	Nucleotide-diphospho-sugar transferase family protein
Bra000951	RING/U-box superfamily protein
Bra000952	No annotation found
Bra000953	Ribosomal L5P family protein
Bra000954	Peptidase family M48 family protein
